0,1,2,3,4,5,6,7,8
CSE 3150 Front-end Full Stack Development,CSE 390 Front-end Full Stack Development (Lab),CSE390 Front-end Full Stack Development,,,,,,
CSE 3151 Java Full Stack Development,CSE 391 Java Full Stack Development (Lab),CSE301 Programming in Advanced JAVA,CSE391 Java Full Stack Development,,,,,
CSE 3152 .NET Full Stack Development,CSE 392 .NET Full Stack Development (Lab),CSE302 Programming in C# and .NET Framework,CSE3152 .NET Full Stack Development,,,,,
CSE 390 Front-end Full Stack Development (Lab),CSE 3150 Front-end Full Stack Development,CSE390 Front-end Full Stack Development,,,,,,
CSE 391 Java Full Stack Development (Lab),CSE 3151 Java Full Stack Development,CSE301 Programming in Advanced JAVA,CSE391 Java Full Stack Development,,,,,
CSE 392 .NET Full Stack Development (Lab),CSE 3152 .NET Full Stack Development,CSE302 Programming in C# and .NET Framework,CSE3152 .NET Full Stack Development,,,,,
CSE 3038 Applied Data Science,,,,,,,,
CSE 3076 Artificial Intelligence for Robotics,,,,,,,,
CSE 3095 Cloud Security,CSE3127 Cloud Application Development,CSE3095 Cloud Security,CSE 2057 Cloud Computing and Virtualization,CSE233/CSE306 Cloud Computing,CSE2069 Cloud Computing,,,
CSE 3102 Malware Analysis,CSE3102 Malware Analysis,,,,,,,
CSE 3136 E-Business and Marketing Analytics,CSE3136 E-Business & Marketing Analytics,CSE 3126 E-Commerce,,,,,,
CSE 3137 Text Mining and Analytics,CSE3137 Text Mining And Analytics,,,,,,,
CSE 3106 Robotic Process Automation Systems,CSE3076 Artificial Intelligence for Robotics,,,,,,,
CSA 2003 Software Metrics and Quality Management,CSE396 Software Testing and Quality Assurance,CSA2003 Software Metrics and Quality Management,,,,,,
2054 Storage Area Networks,CSE 313 Storage Area Networks,,,,,,,
CSE 3016 Neural Networks and Fuzzy Logic,CSE3016 Neural Networks and Fuzzy Logic,,,,,,,
CSE 3050 Software Project Management,CSE2028 Statistical Foundation of Data Science,CSE227 Software Engineering and Project Management,,,,,,
CSE3070 Advanced Computer Networks,CSE 3070 Advanced Computer Network,,,,,,,
CSE3071 Computer Vision,CSE3071 Computer Vision,,,,,,,
CSE3005 Applied Artificial Intelligence,CSE3108 Expert Systems,CSE 228 Principles of Artificial Intelligence,CSE3005 Applied Artificial Intelligence,CSE3006 Artificial Intelligence and Neural Networks,,,,
CSE3011 Reinforcement Learning,CSE465 Reinforcement Learning,,,,,,,
CSE3012 Time Series Analysis,,,,,,,,
CSE3019 Stochastic Decision Making,,,,,,,,
CSE3085 Real Time Operating Systems,CSE3085 Real Time Operating Systems,,,,,,,
CSE3089 Software Architecture,CSE314 Software Architecture,,,,,,,
CSE3013 Machine Vision,CSE3107 Robotic Vision,,,,,,,
CSE3035 R Programming for Data Science,CSE 3035 R Programming for Data Science,CSE299 Data Analytics using R,,,,,,
CSE3087 Applied Machine Learning,CSE319 Machine Learning,CSE 261 Machine Learning Using Python,CSE3008 Machine Learning Techniques,,,,,
CSE3107 Robotic Vision,CSE3013 Machine Vision,,,,,,,
CSE3155 Data Communications and Computer Networks,CSE 2011 Data Communications and Computer Networks,CSE211 Computer Networks,CSE257 Network Programming,,,,,
CSE3156 Database Management Systems,CSE2074 Database Management Systems,,,,,,,
CSE3157 Artificial Intelligence and Machine Learning,CSE3108 Expert Systems,CSE 228 Principles of Artificial Intelligence,CSE 261 Machine Learning Using Python,CSE3006 Artificial Intelligence and Neural Networks,CSE3001 Artificial Intelligence and Machine Learning,,,
CSE5020 Medical Image Processing,CSE3018 Digital Health and Imaging,CSE395 Image Processing,CSE3018 Digital Health and Imaging,,,,,
CSE3068 Advanced DBMS,,,,,,,,
CSE 261 Machine Learning Using Python,CSE319 Machine Learning,CSE3087 Applied Machine Learning,CSE3157 Artificial Intelligence and Machine Learning,CSE3001 Artificial Intelligence and Machine Learning,CSE3008 Machine Learning Techniques,,,
CSE 3066 Mobile Application for IoT,,,,,,,,
CSE 3055 Wireless Communication in IoT,CSE 304 Mobile Communication,,,,,,,
CSE 3053 Big Data Analytics for IoT,,,,,,,,
CSE 2032 Introduction to Fog Computing,CSE 2034 Edge Computing,,,,,,,
CSE 3046 DevOps Tools And Internals,,,,,,,,
CSE 3045 Development Automation,,,,,,,,
CSE 3043 Automated Test Management,CSE 3051 System Monitoring,CSE396 Software Testing and Quality Assurance,,,,,,
CSE 3040 Agile Structures and Frameworks,CSE 2014 Software Engineering,CSE227 Software Engineering and Project Management,CSE2014 Software Engineering,,,,,
CSE 1002 Innovation Project-Arduino Using Embedded C,CSE1004 Problem Solving Using C,,,,,,,
CSE 2066 Computer Graphics,,,,,,,,
CSE 215 / CSE 3078 Cryptography and Network Security,,,,,,,,
CSE 2027 Fundamentals of Data Analytics,,,,,,,,
CSE 2008 Programming in Java (Object-Oriented Programming),CSE 3146 Advanced Java Programming,CSE1001 Problem Solving using JAVA,CSE502 Technical Skills in Java,,,,,
CSE 2067 Web Technology,CSE 324 Internet and Web Technologies,CSE 2056 WEB 2.0,,,,,,
CSE 151 Computer Programming,CSE1004 Problem Solving Using C,,,,,,,
CSE 304 Mobile Communication,CSE 3055 Wireless Communication in IoT,,,,,,,
CSE 2011 Data Communications and Computer Networks,CSE3155 Data Communications and Computer Networks,CSE 3070 Advanced Computer Network,CSE211 Computer Networks,CSE2011 Data Communications and Computer Networks,,,,
CSE 2036 Programming in C++,,,,,,,,
